Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,140.499,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Area,40.4046,um^2,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Area,140.915,um^2,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Area,166.7,um^2,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Area,37.7506,um^2,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,1,,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branch Depth,2,,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Branch Depth,2,,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Branch Depth,1,,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branch Level,1,,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Branch Level,2,,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Branch Level,2,,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,40.9876,°,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branching Angle,8.34923,°,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Branching Angle,11.0219,°,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Branching Angle,40.156,°,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,22.815,°,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branching Angle B,1.02297,°,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Branching Angle B,38.9388,°,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Branching Angle B,52.7316,°,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Length,33.4047,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,9.60647,um,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Length,33.5036,um,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Length,39.634,um,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Length,8.97546,um,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Mean Diameter,1.33881,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,1.33881,um,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Mean Diameter,1.33881,um,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Mean Diameter,1.33881,um,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Mean Diameter,1.33881,um,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite No. Spines,1,,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite No. Spines,0,,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite No. Spines,0,,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Orientation Angle,-89.4788,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,-112.294,°,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Orientation Angle,-111.271,°,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Orientation Angle,-73.355,°,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Orientation Angle,-36.7472,°,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Position X,35.3421,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position X,33.9764,um,Dendrite,,Dendrite Position,1,,1,,1,,100000000,600000001,
Dendrite Position X,26.6938,um,Dendrite,,Dendrite Position,2,,1,,1,,100000000,600000002,
Dendrite Position X,36.1338,um,Dendrite,,Dendrite Position,2,,2,,1,,100000000,600000003,
Dendrite Position X,38.7195,um,Dendrite,,Dendrite Position,1,,2,,1,,100000000,600000004,
Dendrite Position Y,64.2021,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,43.1971,um,Dendrite,,Dendrite Position,1,,1,,1,,100000000,600000001,
Dendrite Position Y,22.7417,um,Dendrite,,Dendrite Position,2,,1,,1,,100000000,600000002,
Dendrite Position Y,20.2024,um,Dendrite,,Dendrite Position,2,,2,,1,,100000000,600000003,
Dendrite Position Y,44.354,um,Dendrite,,Dendrite Position,1,,2,,1,,100000000,600000004,
Dendrite Position Z,0.315004,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.315004,um,Dendrite,,Dendrite Position,1,,1,,1,,100000000,600000001,
Dendrite Position Z,0.315003,um,Dendrite,,Dendrite Position,2,,1,,1,,100000000,600000002,
Dendrite Position Z,0.315004,um,Dendrite,,Dendrite Position,2,,2,,1,,100000000,600000003,
Dendrite Position Z,0.315005,um,Dendrite,,Dendrite Position,1,,2,,1,,100000000,600000004,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Spine Density,0.298476,1/10um,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Spine Density,0,1/10um,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Spine Density,0,1/10um,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Straightness,0.983042,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.984294,,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Straightness,0.987204,,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Straightness,0.969273,,Dendrite,,,2,,2,,1,,100000000,600000003,
Dendrite Straightness,0.993861,,Dendrite,,,1,,2,,1,,100000000,600000004,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Time,0,s,Dendrite,,,2,,1,,1,,100000000,600000002,
Dendrite Time,0,s,Dendrite,,,2,,2,,1,,100000000,600000003,
