Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,550.655,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,140.552,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,1.24708,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,2,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,5.61442,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,92.205,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,67.8558,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500011,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0.142297,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.324674,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,171.677,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),565.277,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),2.00621,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),1.1939,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),2.45332,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),1.21251,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),2.15684,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),2.38714,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),1.29161,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),3.96831,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),4.16945,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000011,
