
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,169.503,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,92.7419,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,0.581772,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,-44.507,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,142.186,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,41.4145,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500017,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.850536,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,24.653,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),169.503,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),2.39342,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),0.619203,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),1.15667,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),1.18656,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),2.38319,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),1.81038,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),0.60101,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),4.57068,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),0.625927,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),0.596303,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),1.30485,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),0.626981,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),2.48792,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),0.590721,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),1.67485,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),1.25354,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),1.52382,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),0.59163,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),1.74263,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),0.671947,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),1.87701,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),0.587625,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),1.83697,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),0.710482,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),1.1309,um^2,Filament,,,,,,,1,,,100000028,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000029,
Filament Area (sum),3.14928,um^2,Filament,,,,,,,1,,,100000030,
Filament Area (sum),0.655409,um^2,Filament,,,,,,,1,,,100000031,
Filament Area (sum),1.95689,um^2,Filament,,,,,,,1,,,100000032,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000033,
Filament Area (sum),0.603209,um^2,Filament,,,,,,,1,,,100000034,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000035,
Filament Area (sum),0.631129,um^2,Filament,,,,,,,1,,,100000036,
Filament Area (sum),0.668983,um^2,Filament,,,,,,,1,,,100000037,
Filament Area (sum),1.13333,um^2,Filament,,,,,,,1,,,100000038,
Filament Area (sum),0.601005,um^2,Filament,,,,,,,1,,,100000039,
Filament Area (sum),2.47722,um^2,Filament,,,,,,,1,,,100000040,
Filament Area (sum),0.592958,um^2,Filament,,,,,,,1,,,100000041,
Filament Area (sum),1.05437,um^2,Filament,,,,,,,1,,,100000042,
Filament Area (sum),0.644702,um^2,Filament,,,,,,,1,,,100000043,
Filament Area (sum),1.16631,um^2,Filament,,,,,,,1,,,100000044,
Filament Area (sum),0.635122,um^2,Filament,,,,,,,1,,,100000045,
Filament Area (sum),1.66484,um^2,Filament,,,,,,,1,,,100000046,
Filament Area (sum),0.634602,um^2,Filament,,,,,,,1,,,100000047,
Filament Area (sum),1.70586,um^2,Filament,,,,,,,1,,,100000048,
Filament Area (sum),0.626981,um^2,Filament,,,,,,,1,,,100000049,
Filament Area (sum),2.28052,um^2,Filament,,,,,,,1,,,100000050,
Filament Area (sum),0.586845,um^2,Filament,,,,,,,1,,,100000051,
Filament Area (sum),0.632835,um^2,Filament,,,,,,,1,,,100000052,
Filament Area (sum),0.64161,um^2,Filament,,,,,,,1,,,100000053,
Filament Area (sum),1.2382,um^2,Filament,,,,,,,1,,,100000054,
Filament Area (sum),0.616053,um^2,Filament,,,,,,,1,,,100000055,
Filament Area (sum),1.31493,um^2,Filament,,,,,,,1,,,100000056,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000057,
Filament Area (sum),1.7222,um^2,Filament,,,,,,,1,,,100000058,
Filament Area (sum),0.587417,um^2,Filament,,,,,,,1,,,100000059,
Filament Area (sum),2.45755,um^2,Filament,,,,,,,1,,,100000060,
Filament Area (sum),0.637206,um^2,Filament,,,,,,,1,,,100000061,
Filament Area (sum),1.85668,um^2,Filament,,,,,,,1,,,100000062,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000063,
Filament Area (sum),1.23479,um^2,Filament,,,,,,,1,,,100000064,
Filament Area (sum),0.63714,um^2,Filament,,,,,,,1,,,100000065,
Filament Area (sum),2.22492,um^2,Filament,,,,,,,1,,,100000066,
Filament Area (sum),0.644192,um^2,Filament,,,,,,,1,,,100000067,
Filament Area (sum),1.33078,um^2,Filament,,,,,,,1,,,100000068,
Filament Area (sum),0.712059,um^2,Filament,,,,,,,1,,,100000069,
Filament Area (sum),1.39639,um^2,Filament,,,,,,,1,,,100000070,
Filament Area (sum),0.646248,um^2,Filament,,,,,,,1,,,100000071,
Filament Area (sum),1.23316,um^2,Filament,,,,,,,1,,,100000072,
Filament Area (sum),0.631263,um^2,Filament,,,,,,,1,,,100000073,
Filament Area (sum),1.90832,um^2,Filament,,,,,,,1,,,100000074,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000075,
Filament Area (sum),1.2783,um^2,Filament,,,,,,,1,,,100000076,
Filament Area (sum),0.589603,um^2,Filament,,,,,,,1,,,100000077,
Filament Area (sum),1.16647,um^2,Filament,,,,,,,1,,,100000078,
Filament Area (sum),0.719289,um^2,Filament,,,,,,,1,,,100000079,
Filament Area (sum),2.23282,um^2,Filament,,,,,,,1,,,100000080,
Filament Area (sum),0.632245,um^2,Filament,,,,,,,1,,,100000081,
Filament Area (sum),2.63994,um^2,Filament,,,,,,,1,,,100000082,
Filament Area (sum),0.585722,um^2,Filament,,,,,,,1,,,100000083,
