
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,201.1,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,31.2169,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,2.05056,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,18.9516,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,13.671,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,9.77191,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500002,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.958967,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,103.092,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),201.1,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),12.9725,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),3.22751,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),6.27232,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),3.50688,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),6.2702,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),3.22321,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),6.5211,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),6.54601,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),3.35978,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),6.69447,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),3.22493,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),7.97627,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),3.23181,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),6.50684,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),3.29894,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),10.2654,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),3.25833,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),6.39829,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),3.26512,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),6.73809,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),3.61366,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),9.8112,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),3.26512,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),9.10778,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),3.30902,um^2,Filament,,,,,,,1,,,100000028,
Filament Area (sum),6.62196,um^2,Filament,,,,,,,1,,,100000029,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000030,
Filament Area (sum),8.30256,um^2,Filament,,,,,,,1,,,100000031,
Filament Area (sum),7.72637,um^2,Filament,,,,,,,1,,,100000032,
Filament Area (sum),6.15382,um^2,Filament,,,,,,,1,,,100000033,
Filament Area (sum),6.28666,um^2,Filament,,,,,,,1,,,100000034,
Filament Area (sum),3.86378,um^2,Filament,,,,,,,1,,,100000035,
Filament Area (sum),6.48794,um^2,Filament,,,,,,,1,,,100000036,
Filament Area (sum),3.51399,um^2,Filament,,,,,,,1,,,100000037,
Filament Area (sum),3.23181,um^2,Filament,,,,,,,1,,,100000038,
Filament Area (sum),3.36638,um^2,Filament,,,,,,,1,,,100000039,
Filament Dendrite Area (sum),201.1,um^2,Filament,,,,,,,1,,,100000000,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000001,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000002,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000003,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000004,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000005,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000007,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000008,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000009,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000010,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000011,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000012,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000013,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000014,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000015,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000016,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000017,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000018,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000019,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000020,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000021,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000022,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000023,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000024,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000025,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000026,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000027,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000028,
