
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,ReferenceFrame,Time,Type,FilamentID,ID,
Dendrite Area,57.5746,um^2,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Length,28.0492,um,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Mean Diameter,0.653372,um,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Orientation Angle,-69.4798,°,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Position X,19.9624,um,Dendrite,,Dendrite Position,0,,1,,,1,,100000000,600000000,
Dendrite Position X Reference Frame,19.9624,um,Dendrite,,Dendrite Position Reference Frame,0,,1,,Reference Frame 1,1,,100000000,600000000,
Dendrite Position Y,16.2616,um,Dendrite,,Dendrite Position,0,,1,,,1,,100000000,600000000,
Dendrite Position Y Reference Frame,16.2616,um,Dendrite,,Dendrite Position Reference Frame,0,,1,,Reference Frame 1,1,,100000000,600000000,
Dendrite Position Z,0.500002,um,Dendrite,,Dendrite Position,0,,1,,,1,,100000000,600000000,
Dendrite Position Z Reference Frame,0.500002,um,Dendrite,,Dendrite Position Reference Frame,0,,1,,Reference Frame 1,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Straightness,0.965781,,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,,1,,100000000,600000000,
Dendrite Volume,9.4044,um^3,Dendrite,,,0,,1,,,1,,100000000,600000000,
Filament Area (sum),57.5746,um^2,Filament,,,,,,,,1,,,100000000,
Filament Area (sum),1.70838,um^2,Filament,,,,,,,,1,,,100000001,
Filament Area (sum),0.794998,um^2,Filament,,,,,,,,1,,,100000002,
Filament Area (sum),0.710805,um^2,Filament,,,,,,,,1,,,100000003,
Filament Area (sum),0.628271,um^2,Filament,,,,,,,,1,,,100000004,
